unit_index,importance
948,0.0009695361818167045
571,0.0009693459246958013
259,0.0009685100647083843
386,0.000968458832111757
997,0.0009656166792754676
984,0.0009652325918858141
764,0.0009635662180963104
523,0.0009617496489778293
504,0.0009614805638678573
178,0.0009608191726185318
205,0.0009576636300127066
140,0.0009572250775687674
357,0.0009535858232574072
769,0.0009529574141067721
525,0.0009522928670531954
958,0.0009513057179420187
515,0.0009461375953697538
283,0.0009458943372411458
745,0.0009453065162873008
171,0.0009442953126341259
15,0.0009421934445837069
74,0.0009408431036187286
731,0.0009404890271737306
440,0.0009398141875564545
971,0.0009389850263770786
821,0.0009387653325693033
694,0.0009382167049404823
518,0.0009373168785824192
600,0.000936419522171718
410,0.0009363562599017392
382,0.000935113884021276
456,0.000933988601028272
562,0.0009332913341170322
865,0.0009330164573176171
203,0.0009330105820196029
803,0.0009297918635470604
896,0.0009254622096462163
890,0.0009198196189156247
989,0.000918823649206612
843,0.000917704404413218
106,0.0009171624000142917
443,0.0009122302538162112
787,0.0009063220539486212
744,0.0009060865130773631
830,0.0009059401808390577
741,0.000904645232212837
195,0.0009037969077768191
677,0.0009012471891792602
858,0.0008992127223389748
266,0.0008975022156714351
4,0.0008966341576675585
428,0.0008949499775674671
941,0.000893828738017609
657,0.0008926183608755387
460,0.0008890234115027533
78,0.0008879533984372084
939,0.0008866518397076627
866,0.0008859470492374213
193,0.0008851298459275075
182,0.0008848728131746668
798,0.0008836505272501885
152,0.0008829748431504457
650,0.0008826893688962531
474,0.0008820166268621304
229,0.0008819468645946747
824,0.0008788097366932266
501,0.0008762428094455985
413,0.0008761287600226853
416,0.0008743058254149415
652,0.0008736941266608676
287,0.00087324983756086
161,0.0008731312889560469
588,0.00087296578994621
522,0.0008722327449034014
982,0.0008707562739263359
583,0.0008706626875698007
212,0.0008702056989134231
7,0.000868966638244163
262,0.0008689475637851927
998,0.0008688755362543871
225,0.0008682840430644291
149,0.0008682125200309368
666,0.0008669492574985122
914,0.0008653712349167834
883,0.0008608015274741429
874,0.0008600242756635843
560,0.0008576250233371868
476,0.0008564537997009144
296,0.000855362294948844
554,0.0008547501101275368
367,0.0008544027845607169
308,0.0008537597735784813
577,0.0008512413325035698
493,0.0008510266136709992
885,0.0008506752644800322
635,0.0008499836750663277
86,0.0008485829493013151
794,0.0008461940835111661
620,0.0008461243531431254
165,0.0008457759388801377
245,0.0008424112021085027
800,0.0008405266474386023
420,0.0008404588553815009
310,0.0008401142483145265
268,0.0008381313758607789
239,0.0008370609135159287
645,0.0008355577560935618
116,0.0008354932951360318
151,0.0008342396957692411
198,0.0008335526780263466
249,0.0008319701913146037
884,0.0008317914912753275
146,0.0008313475608234177
892,0.0008310723908677524
365,0.0008305258282009822
579,0.0008279715192086127
727,0.0008278159776284556
120,0.0008272751846995839
716,0.000827078576954305
517,0.0008263209829712636
754,0.0008250810782258858
857,0.0008250336711783817
384,0.0008243237215830006
463,0.0008221102243457755
972,0.0008212622644475714
604,0.0008198826060566371
185,0.0008197668092073121
305,0.0008185049319637825
485,0.0008176326646848068
585,0.000816117577136953
60,0.0008158654244757387
862,0.0008138737952111022
703,0.0008138351660928536
341,0.0008135881736918225
606,0.0008133691445052368
867,0.000810213619532092
65,0.000810186555639181
210,0.0008095285713490604
391,0.000809397520544297
559,0.0008091498382870038
601,0.0008073477275296464
47,0.0008066838815485512
79,0.0008066564716804519
797,0.000806594490621114
303,0.0008057289487301656
675,0.0008056155886999456
220,0.0008043378532648444
276,0.0008040228377122996
453,0.0008022438293317143
429,0.0008017420269421393
750,0.0008006976576624492
491,0.0007995834860378141
432,0.0007981220291261042
53,0.0007976400325000988
978,0.0007974091210425819
52,0.0007968564221910568
500,0.0007966501772539404
855,0.000796455288224071
129,0.0007954919782291289
131,0.0007948286069200744
663,0.0007920196352949753
891,0.0007917730893462736
495,0.0007903023529061211
768,0.0007888340903539587
337,0.0007882866203600679
126,0.0007880603204885998
90,0.0007880536055325518
158,0.0007880271906211306
434,0.0007867416389809741
426,0.0007863888642820508
529,0.0007859651812778437
678,0.000785529050644459
299,0.0007853259135307819
569,0.0007836533986956703
311,0.0007829928383421521
706,0.0007823901397217206
132,0.0007812965686738149
840,0.0007811101601210165
696,0.0007807848489143206
707,0.0007800482360716907
643,0.0007797492987111529
636,0.0007792382442715077
784,0.0007787367991920966
450,0.0007783265060599119
356,0.0007773032222406698
435,0.0007757705245671717
227,0.0007740596644784229
909,0.0007734950385516678
390,0.0007733951617192612
611,0.0007727375303379158
332,0.0007725426172571981
85,0.000772347768146137
419,0.0007722656142126002
789,0.0007722304218799361
